アイデアで勝負、無から有を。先見の明あり、アイデアを生かせ。一代で無より有。功名利達投機も適す。,我強し、慎めば家庭良。
おごる平家は久しからず。知力、胆力あり。発展するも不慮の災あり。頭はキレるが人情味薄く、人望に欠ける。,見合多し未亡人になりやすし。
クヨクヨと思い煩うこと多し。忍耐力なく、小心くよくよ。意思強く気を大きくせよ。,共稼ぎタイプ、晩婚型、良い家庭子供。
ただ一人わが道を行く。知力胆力勝れ、信用名声財力に恵まる。万難を排し成就、反面孤立多し。,見合いがよい、色難要注意。
タレント運と災厄運。意志力強し、活動的、他人と衝突多し、学問技芸技能で成功、反面災厄あり。,肉体型の変愛タイプ、結婚運強し。
チャンスをつかんで勝負せよ。天にあれば昇り竜、地にあればモグラ、吉凶引合い。生涯三度チャンスあり。,良縁に恵まれ、女上位の生活。
トップでラッキーボス気質。凶を吉に、人気有り、トップの地位を占め晩年良、親分肌、無理をせぬこと。,勝気、晩婚職業婦人型、悪妻化。
とにかく途中でくじけがち。中途挫折、失敗多し、努力するもから回り、神経質焦りがち、地味に生きよ。,自我強し、結婚運良し、離婚少なし。
ふまれても、まれ立ち直り。凶中に吉あり、厳しい冬の後に春来る、前半悪後半良、不屈の意思持て。,現実的、早婚三角関係、トラブル大。
やがて昇天臥龍の姿。力を蓄え後に昇天栄達、チャンスに全力、勇気と気配りを心がけよ。,家庭ゴタゴタ晩婚型子供縁薄し。
ラッキーチャンスに恵まれる。逆境でも風雲に乗じ、チャンス掴む。目上の引立て有、うぬぼれ禁物。,思うとおりベターハーフを得る。
暗い波間に沈みがち。障害・辛苦多く身を滅す災厄数、万事不如意。,くよくよ型、未亡人多し、子供恵まれず。
暗い波間に沈みがち。別れの悲しみ、孤独苦しみ、浮沈多し、失意不遇の晩年。正義を貫くことが活路。,チャキチャキ奥様、早く良縁に恵まれる。
暗い波間に漂う小船。孤立困苦、不遇失意の生涯。,ケチ、夫を圧迫、孤独、子縁薄し。
暗い浮世にすすり泣き。病難、災厄、孤独、まれに天才、のるかそるかの勝負に出るも良し。,家庭切回し良、内助の功、両親受け良し。
一進一退、吉凶・禍福相半。山あり谷あり、投機は多く失敗、浮き沈み多し、マレに大成功。,穏やか内助の功、他運強は夫を圧迫。
一人トボトボ雨の道。金や家庭に縁簿く孤独、目出ず、潔癖すぎて他人に厳しい、ケチ、エゴイスト。,晩婚型、勝気女上位、色難注意。
一人寂しく、悩み果てなし。病弱短命、不遇、孤独、一人気ままな自由が活路。,気が強く働き者、初恋失敗、子運良し。
一歩進んで二歩休め。憤重な努力が大切、保守平安、急激な前進や衝突を避けよ。,強情で多情、異性トラブル多し。
雨露の恵み受け伸び盛り。慈雨の恵みで草木繁茂、障害なし、一生平安、社会的地位を占める。,気強＜意地っ張り、異性トラブル多し。
運は強いがエゴイスト。名利共に得るが、傲慢不和生ず。表面飾るも内面伴わず。エゴイストになるな。,女事業者良し、未亡人型。
下手な考え休むに似たり。消極的、傍観者的、中途でくじける、壮年以降他力によるチャンスあり。,再婚縁有り、子供恵まれず。
外からの助けで立ち直り。吉凶こもごも、災厄失意も、目上引立てで立ち直る。我を張らぬこと。,職業事業可、強すぎ未亡人運。
学問・技芸で実力発揮。才知・学問・技芸に勝る、権力型でない、おとなしく保守的、無事平安。,男性にもてる玉の輿型、家庭良。
活動的なラッキーボーイ。天恵により大志大業を遂ぐ。活動的なラッキーボーイ。軽挙をつつしめ。,姑、小姑と折合い悪し、仕事持つが良い。
求めずしての長者運。求めずして名利集まり、一生安泰、長者運、長命の上、福禄は長く子孫に。,子運恵まれず、トラブル色難多し。
強い意志力、富貴名誉最良。万物の始、富・名声に恵まれ発展、意思強くトップに、尊大ぶらぬこと。,勝気、再婚しやすし、色難注意。
強気で他人はおかまいなし。強い信念、難関突破、大業成就、発展成功、我強く思いやり無いのが欠点。,見合い多し、家庭で孤立する。
強気で独立型、万難の末成功。独立独歩わが道を行く、剛気果断型、プライド高く権力型、融和に努めよ。,男を尻に敷＜、後家運。
錦は着れど、実は腹ペコ。表面派手、内情火の車、内と外が違う、前半良なるも後半悪し、吉凶相半。,見栄坊、結婚あせると失敗する。
金あれど身につかず。幸福短く不安動揺絶えず、逆らわず精神の糧とするが活路。,才色兼備、美人長命、女の大吉。
芸能・文化に才能を。学問・芸能・文化面成功。権力野望を捨てること、分を守りムリせぬこと。,見合い良縁、異性トラブル注意。
月にむら雲、花に風。一時成功するも晩年不遇、逆境の中にも先に希望あり、努力せよ。,見合良縁、異性トラブル注意。
研究・企画むき、苦労性。苦労トラブル多く、孤独なりやすし。研究心・企画性あり、芸能芸術に勝る。,家庭内淋しい、離婚、子供縁薄し。
孤独で苦労におわれがち。苦労絶えず、金銭身につかず、家庭孤独、勝負運強くギャンブル危険。,温和、良妻賢母、女の大吉。
顧問・コンサルタント。才知徳望あり、名声財力を得る、陣頭指揮の軍師タイプ、コンサルタント可。,夫につくすも家庭トラブル、甲斐なし。
口八丁手八丁の人気者。炎のように燃える才知溢れる活動タイプ。学問技能芸能成功。目上引立て有り。,金に恵まれるが孤独になりがち。
骨折り損のくたびれもうけ。苦労多し、挫折型、独立心弱、から回り多し、地道に進め。配偶者で苦労。,貞女、賢夫人、家庭守り夫をたすける。
才あり気立て良し、成功発展。意思強く成功、トップに立ち人から尊敬される。,女上位、未亡人なりやすし。
才にまかせてやりすぎ用心。知力・財力・権力手中にボス。やりすぎぬよう、自己反省必要。,家庭運悪し、再婚型、色難注意。
才知あり、ただし中途で挫折。家庭運・財運薄し、中途挫折、才知有り、事業仕事に才能発揮、短命色難。,家庭に入っても人の上に立ち人を使う。
自我をはらずに円満に。才知縦横、積極的に努力する、他人と和を欠＜、我を押さえ円満調和要す。,大人しく誘惑にのり易い、色情注意。
自然の恵みで一生平安。自然の恵みが徳となり、一生平安、後半生安定幸福、理想追うな。,多情多恨型。
七転八起、晩年慶福。浮沈多いが必ず立ち直る。災厄あうも必ず良し、晩年幸福。,家庭に苦労、ツキなし。
周囲に恵まれトントン拍子。天恵あり、目上引立てあり、どんな障害も突破、晩年ほど良い、成功発展。,良縁、才知を出しすぎると失敗。
春の日の草木のように。天恵をうけ、どんどん成功。仕事も家庭も恵まれ、坊ちゃん気質。長男・後取り型。,芸は身を助く、技芸を身につけよ。
順風満帆、目的達成。とっつき悪いが親切で誠実、苦労突破。,良縁、玉の輿、社会的上位に立つ。
常に不安な崖上の家。いつ崩れるか判らぬ不安定、前半良し後半凶、表面幸せ内面苦労。,ヤリ手、賢妻、夫を立てよ。
人にしたわれポストも金も。人当り良く、目上引立有り。金・地位・名声手中に。人の上に立つポストを占め、尊敬される。,結婚、ギャンブル的になる。
世は捨てて心の平安を。労多く、冷暗、空虚、孤独失意の生活、世俗を捨てると安定。,中年以降に注意、急変に備えよ。
晴れ後曇りにご注意。一時成功、晩年悪し。晩年特に注意し、地味平凡に暮らすこと。,良い子に恵まれる、中年以降注意。
石橋をたたいて渡り才能あり。知力才力意思強し、周到な計画と堅実な実行力で成功。勤勉、発明力あり。,積極性あり、良縁を得る。
先祖のおかげで一生安泰。祖先の降徳に恵まれ、地位名誉金銭に不自由せず。親分肌、男気つよし。,表面華か内面悩多し、苦労多し。
